rank,story,url,index,pos,neg,neu,comp,source,date,hour
1,Afghan families in Yorkshire issued with eviction letters from Suella Braverman,https://www.theguardian.com/politics/2023/may/16/afghan-families-yorkshire-eviction-letters-from-suella-braverman,0,0.078,0.058,0.864,0.8901,Guardian,2023-05-16,8
2,"Martha Stewart, 81, becomes oldest Sports Illustrated swimsuit cover model",https://www.theguardian.com/lifeandstyle/2023/may/16/martha-stewart-81-becomes-oldest-sports-illustrated-swimsuit-cover-model,1,0.104,0.021,0.875,0.991,Guardian,2023-05-16,8
3,The war on Japanese knotweed,https://www.theguardian.com/environment/2023/may/16/the-war-on-japanese-knotweed,2,0.074,0.079,0.847,-0.9921,Guardian,2023-05-16,8
4,Tory MPs accuse Suella Braverman of making bid for party leadership,https://www.theguardian.com/politics/2023/may/15/tory-mps-accuse-suella-braverman-of-undermining-sunak-authority,3,0.087,0.089,0.824,-0.4566,Guardian,2023-05-16,8
5,UK government urged to act as some meat and veg prices double in a year,https://www.theguardian.com/business/2023/may/16/uk-government-meat-veg-prices-which-rishi-sunak,4,0.099,0.062,0.839,0.9525,Guardian,2023-05-16,8
6,Tories preach baby-making and the facts of life – why does it always come back to sex with these oddballs?,https://www.theguardian.com/politics/2023/may/15/tories-preach-baby-making-and-the-facts-of-life-why-does-it-always-come-back-to-sex-with-these-oddballs,5,0.084,0.123,0.793,-0.9948,Guardian,2023-05-16,8
7,Russia-Ukraine war updates: ‘exceptionally’ intense air strikes on Kyiv overnight; EU leaders meet in Iceland – live,https://www.theguardian.com/world/live/2023/may/16/russia-ukraine-war-live-updates-kyiv-russian-air-strikes-latest-news,6,0.081,0.13,0.789,-0.9994,Guardian,2023-05-16,8
8,The Tories are on the ropes now – and Labour’s killer blows are not far away,https://www.theguardian.com/commentisfree/2023/may/16/tories-labour-keir-starmer-local-elections-votes,7,0.137,0.096,0.766,0.9968,Guardian,2023-05-16,8
9,‘No longer relevant to the UK’: list of 600 EU laws to be scrapped is published,https://www.theguardian.com/politics/2023/may/15/no-longer-relevant-to-the-uk-list-of-600-eu-laws-to-be-scrapped-is-published,8,0.101,0.067,0.833,0.9703,Guardian,2023-05-16,8
10,China’s Hidden Century review – how opium and Christianity demolished a civilisation,https://www.theguardian.com/culture/2023/may/16/chinas-hidden-century-british-museum,9,0.081,0.094,0.825,-0.891,Guardian,2023-05-16,8
1,Resistance man breaks 80-year silence over executed Germans,https://www.bbc.co.uk/news/world-europe-65613900,0,0.034,0.136,0.83,-0.9982,BBC,2023-05-16,20
2,Brigitte Macron relative beaten after president speech,https://www.bbc.co.uk/news/world-europe-65613894,1,0.034,0.207,0.759,-0.9975,BBC,2023-05-16,20
3,Hippo in deadly attack on packed Malawi river boat,https://www.bbc.co.uk/news/world-africa-65612850,2,0.082,0.133,0.785,-0.9674,BBC,2023-05-16,20
4,ChatGPT boss urges US Congress to regulate AI,https://www.bbc.co.uk/news/world-us-canada-65616866,3,0.101,0.065,0.834,0.9131,BBC,2023-05-16,20
5,Ghanaian ruler asks British Museum to return gold,https://www.bbc.co.uk/news/entertainment-arts-65614490,4,0.053,0.042,0.905,0.8025,BBC,2023-05-16,20
6,Rushdie warns free expression is under threat,https://www.bbc.co.uk/news/world-us-canada-65612267,5,0.123,0.146,0.732,-0.5961,BBC,2023-05-16,20
7,Kyiv hit by 'exceptionally dense' missile barrage,https://www.bbc.co.uk/news/world-europe-65606385,6,0.069,0.161,0.77,-0.998,BBC,2023-05-16,20
8,"Martha Stewart, 81, is Sports Illustrated cover star",https://www.bbc.co.uk/news/world-us-canada-65608913,7,0.117,0.048,0.835,0.9772,BBC,2023-05-16,20
